epoch,step,train/loss_epoch,train/loss_step,val/error_h,val/error_u,val/error_v,val/loss,val/loss_best
0,0,,,0.8720319867134094,1.1965032815933228,1.0978152751922607,1.6849427223205566,1.6849427223205566
0,0,0.7323722243309021,,,,,,
1,1,,,0.7693603038787842,0.8685160279273987,1.0060185194015503,1.154921531677246,1.154921531677246
1,1,1.308184266090393,,,,,,
2,2,,,0.8523262739181519,0.9189189672470093,0.9834563136100769,1.2937517166137695,1.154921531677246
2,2,0.43674466013908386,,,,,,
3,3,,,0.8198181986808777,1.0550978183746338,1.026319146156311,1.4100027084350586,1.154921531677246
3,3,0.628336489200592,,,,,,
4,4,,,0.7925797700881958,1.1242005825042725,1.0687940120697021,1.4766857624053955,1.154921531677246
4,4,0.8249474763870239,,,,,,
5,5,,,0.7927232384681702,1.1098519563674927,1.0716644525527954,1.4627901315689087,1.154921531677246
5,5,0.90074223279953,,,,,,
6,6,,,0.7968962788581848,1.0439010858535767,1.0484627485275269,1.382582664489746,1.154921531677246
6,6,0.8357105255126953,,,,,,
7,7,,,0.7918798923492432,0.9677637219429016,1.0225640535354614,1.283818244934082,1.154921531677246
7,7,0.7165600657463074,,,,,,
8,8,,,0.7802742123603821,0.9155430793762207,1.0045998096466064,1.2093007564544678,1.154921531677246
8,8,0.6236302852630615,,,,,,
9,9,,,0.7704601883888245,0.9044410586357117,0.995514988899231,1.181579828262329,1.154921531677246
9,9,0.5775655508041382,,,,,,
10,10,,,0.7692225575447083,0.9265753626823425,0.9939360618591309,1.1992548704147339,1.154921531677246
10,10,0.5709708333015442,,,,,,
11,11,,,0.7734559178352356,0.9519234895706177,0.9971022605895996,1.2300618886947632,1.154921531677246
11,11,0.5888524651527405,,,,,,
12,12,,,0.7721817493438721,0.954102635383606,1.0003092288970947,1.2324906587600708,1.154921531677246
12,12,0.5897039175033569,,,,,,
13,13,,,0.7644816040992737,0.9337295889854431,1.002411961555481,1.2051777839660645,1.154921531677246
13,13,0.5330360531806946,,,,,,
14,14,,,0.7578129768371582,0.9072157144546509,1.0051363706588745,1.1744450330734253,1.154921531677246
14,14,0.4554550051689148,,,,,,
15,15,,,0.7559851408004761,0.8871279954910278,1.008602499961853,1.1564239263534546,1.154921531677246
15,15,0.4146019518375397,,,,,,
16,16,,,0.7573018074035645,0.8769967555999756,1.01103675365448,1.1506198644638062,1.1506198644638062
16,16,0.4173974394798279,,,,,,
17,17,,,0.7589219212532043,0.875602126121521,1.0110327005386353,1.1513671875,1.1506198644638062
17,17,0.4393361210823059,,,,,,
