epoch,step,train/loss_epoch,train/loss_step,val/error_p,val/error_q,val/error_qq,val/error_u,val/error_v,val/error_xx,val/loss,val/loss_best
0,0,,,3.066462755203247,1.103968620300293,1.772107720375061,0.9698997139930725,0.7083163261413574,0.6027231216430664,0.7215346097946167,0.7215346097946167
0,0,2.0179288387298584,,,,,,,,,
1,1,,,2.6275594234466553,1.0962659120559692,1.436932921409607,0.9422131180763245,0.3322522044181824,0.6915492415428162,0.6460062861442566,0.6460062861442566
1,1,1.701788306236267,,,,,,,,,
2,2,,,2.2107784748077393,1.0927035808563232,1.1729832887649536,0.9204148650169373,0.4478004574775696,0.7548487186431885,0.606305718421936,0.606305718421936
2,2,1.4842097759246826,,,,,,,,,
3,3,,,1.8542096614837646,1.0958595275878906,1.0244252681732178,0.9025255441665649,0.6863093972206116,0.7688866257667542,0.5743544697761536,0.5743544697761536
3,3,1.353437900543213,,,,,,,,,
4,4,,,1.588826298713684,1.1078954935073853,0.950847864151001,0.8828762173652649,0.8139487504959106,0.7563532590866089,0.5412682294845581,0.5412682294845581
4,4,1.2786169052124023,,,,,,,,,
5,5,,,1.4201288223266602,1.1292672157287598,0.9258473515510559,0.8555629253387451,0.8265978097915649,0.7384926080703735,0.5066035985946655,0.5066035985946655
5,5,1.2210251092910767,,,,,,,,,
6,6,,,1.329059362411499,1.1591891050338745,0.9301741719245911,0.8174695372581482,0.7593799233436584,0.717309296131134,0.46770724654197693,0.46770724654197693
6,6,1.1544684171676636,,,,,,,,,
7,7,,,1.2890468835830688,1.1962485313415527,0.9452508687973022,0.7689594626426697,0.6519468426704407,0.6872103810310364,0.42292898893356323,0.42292898893356323
7,7,1.0707762241363525,,,,,,,,,
8,8,,,1.280218482017517,1.2379846572875977,0.9616827964782715,0.7136439681053162,0.5394759178161621,0.6446932554244995,0.3743765950202942,0.3743765950202942
8,8,0.9731773138046265,,,,,,,,,
9,9,,,1.292624592781067,1.279941201210022,0.9775893688201904,0.6579251885414124,0.4495049715042114,0.5921251177787781,0.3276434540748596,0.3276434540748596
9,9,0.8695281147956848,,,,,,,,,
10,10,,,1.3222507238388062,1.3152486085891724,0.9945250749588013,0.6096320748329163,0.3975915014743805,0.5358062982559204,0.2887939214706421,0.2887939214706421
10,10,0.7684062123298645,,,,,,,,,
11,11,,,1.3651106357574463,1.3359168767929077,1.0141830444335938,0.5743837356567383,0.3822134733200073,0.4827725291252136,0.2611408829689026,0.2611408829689026
11,11,0.6768729090690613,,,,,,,,,
12,12,,,1.4134526252746582,1.33714759349823,1.0366747379302979,0.5507457256317139,0.3896596431732178,0.4378196597099304,0.24341538548469543,0.24341538548469543
12,12,0.5983840227127075,,,,,,,,,
13,13,,,1.4567369222640991,1.323349118232727,1.0605069398880005,0.5301739573478699,0.40623143315315247,0.4011855125427246,0.2306244969367981,0.2306244969367981
13,13,0.5311289429664612,,,,,,,,,
14,14,,,1.4856956005096436,1.3088536262512207,1.0835670232772827,0.5033509135246277,0.4226570725440979,0.36922553181648254,0.2174120545387268,0.2174120545387268
14,14,0.46937140822410583,,,,,,,,,
15,15,,,1.4953782558441162,1.3107322454452515,1.1039161682128906,0.46615302562713623,0.4322602450847626,0.3380914330482483,0.20120394229888916,0.20120394229888916
15,15,0.4080600142478943,,,,,,,,,
