epoch,step,train/loss_epoch,train/loss_step,val/error_p,val/error_q,val/error_qq,val/error_u,val/error_v,val/error_xx,val/loss,val/loss_best
0,0,,,1.3771483898162842,4.537116050720215,2.0027153491973877,0.911980926990509,2.7255094051361084,0.5841447114944458,0.9097487926483154,0.9097487926483154
0,0,2.6472201347351074,,,,,,,,,
1,1,,,1.2158911228179932,4.372998237609863,1.846946120262146,0.8569522500038147,2.314392328262329,0.6240359544754028,0.7819986939430237,0.7819986939430237
1,1,2.2243881225585938,,,,,,,,,
2,2,,,1.1319360733032227,4.19685173034668,1.7239038944244385,0.8027448654174805,1.9124852418899536,0.6612760424613953,0.6801367998123169,0.6801367998123169
2,2,1.8591625690460205,,,,,,,,,
3,3,,,1.1066926717758179,4.019738674163818,1.6303988695144653,0.7494909763336182,1.5258992910385132,0.679820716381073,0.5940775871276855,0.5940775871276855
3,3,1.5487014055252075,,,,,,,,,
4,4,,,1.110610008239746,3.84635066986084,1.5621925592422485,0.6972063183784485,1.1617878675460815,0.6678268909454346,0.514563262462616,0.514563262462616
4,4,1.2891764640808105,,,,,,,,,
5,5,,,1.1167203187942505,3.6794047355651855,1.513623833656311,0.6459391117095947,0.8275822997093201,0.6139441132545471,0.43402931094169617,0.43402931094169617
5,5,1.0750356912612915,,,,,,,,,
6,6,,,1.1086030006408691,3.5206964015960693,1.4798082113265991,0.5959588885307312,0.53086918592453,0.5439321398735046,0.3630468249320984,0.3630468249320984
6,6,0.8994774222373962,,,,,,,,,
7,7,,,1.0805177688598633,3.370748281478882,1.457788109779358,0.5478806495666504,0.28238365054130554,0.4782331585884094,0.3075234591960907,0.3075234591960907
7,7,0.7553990483283997,,,,,,,,,
8,8,,,1.035119652748108,3.2286250591278076,1.4455486536026,0.5028581023216248,0.13055847585201263,0.4230516254901886,0.26630717515945435,0.26630717515945435
8,8,0.6363095045089722,,,,,,,,,
9,9,,,0.9810527563095093,3.091574192047119,1.4388155937194824,0.4627808630466461,0.19649383425712585,0.3810812532901764,0.23699218034744263,0.23699218034744263
9,9,0.5370107889175415,,,,,,,,,
10,10,,,0.930121660232544,2.9551596641540527,1.4238824844360352,0.4303392171859741,0.3170333206653595,0.35327985882759094,0.2165990173816681,0.2165990173816681
10,10,0.45387452840805054,,,,,,,,,
11,11,,,0.893612802028656,2.8144826889038086,1.3877958059310913,0.40867605805397034,0.414512574672699,0.33950766921043396,0.2027176320552826,0.2027176320552826
11,11,0.384694367647171,,,,,,,,,
12,12,,,0.8779598474502563,2.665520429611206,1.3441225290298462,0.4004567265510559,0.4837013781070709,0.3387582004070282,0.19537261128425598,0.19537261128425598
12,12,0.3282095193862915,,,,,,,,,
13,13,,,0.8817341923713684,2.505704402923584,1.2970890998840332,0.40661969780921936,0.5277120471000671,0.34925779700279236,0.1940312683582306,0.1940312683582306
13,13,0.28344953060150146,,,,,,,,,
14,14,,,0.8967313170433044,2.3340277671813965,1.246427297592163,0.42568761110305786,0.5513327717781067,0.3686121106147766,0.19777804613113403,0.1940312683582306
14,14,0.2491270899772644,,,,,,,,,
