epoch,step,train/loss_epoch,train/loss_step,val/error_p,val/error_q,val/error_qq,val/error_u,val/error_v,val/error_xx,val/loss,val/loss_best
0,0,,,1.396783471107483,2.1934778690338135,0.8160413503646851,1.1867135763168335,3.2970333099365234,0.7362504601478577,0.967549204826355,0.967549204826355
0,0,2.288064479827881,,,,,,,,,
1,1,,,1.2156609296798706,1.9020953178405762,0.8550463914871216,1.1077284812927246,2.935467004776001,0.6355547308921814,0.7891985177993774,0.7891985177993774
1,1,1.9168682098388672,,,,,,,,,
2,2,,,1.0530338287353516,1.6328480243682861,0.8767443895339966,1.0230302810668945,2.584587574005127,0.582502007484436,0.6435685753822327,0.6435685753822327
2,2,1.5872893333435059,,,,,,,,,
3,3,,,0.9179354310035706,1.3951361179351807,0.8491585850715637,0.9358333945274353,2.2455835342407227,0.5825262069702148,0.5232157707214355,0.5232157707214355
3,3,1.3018265962600708,,,,,,,,,
4,4,,,0.8194913864135742,1.2009925842285156,0.7866456508636475,0.8503932356834412,1.9202064275741577,0.6066285371780396,0.42541182041168213,0.42541182041168213
4,4,1.0621566772460938,,,,,,,,,
5,5,,,0.7609090209007263,1.0645519495010376,0.7277907133102417,0.7724456191062927,1.6108261346817017,0.6056722402572632,0.34695374965667725,0.34695374965667725
5,5,0.8685793280601501,,,,,,,,,
6,6,,,0.7357476353645325,0.9930004477500916,0.6927836537361145,0.70890873670578,1.3208727836608887,0.5941579937934875,0.2905384600162506,0.2905384600162506
6,6,0.7190572619438171,,,,,,,,,
7,7,,,0.7304916977882385,0.9779536724090576,0.6789653897285461,0.6664425134658813,1.0548579692840576,0.5756179690361023,0.2525695264339447,0.2525695264339447
7,7,0.6087003350257874,,,,,,,,,
8,8,,,0.7315745949745178,0.9973950982093811,0.6752592325210571,0.6486663818359375,0.8179094195365906,0.5462831854820251,0.22709494829177856,0.22709494829177856
8,8,0.5301516056060791,,,,,,,,,
9,9,,,0.730248749256134,1.0267255306243896,0.6725382208824158,0.653623104095459,0.6159676909446716,0.5104955434799194,0.21022824943065643,0.21022824943065643
9,9,0.4747790992259979,,,,,,,,,
10,10,,,0.7236520051956177,1.0479623079299927,0.6670413017272949,0.6742345094680786,0.456432044506073,0.4805257022380829,0.2003718465566635,0.2003718465566635
10,10,0.43410322070121765,,,,,,,,,
11,11,,,0.7137620449066162,1.0522536039352417,0.6600856781005859,0.7016333341598511,0.34861060976982117,0.4620213508605957,0.19602546095848083,0.19602546095848083
11,11,0.4010002911090851,,,,,,,,,
12,12,,,0.7056668996810913,1.038078784942627,0.6563849449157715,0.72830730676651,0.29870930314064026,0.45472490787506104,0.19608913362026215,0.19602546095848083
12,12,0.3704260587692261,,,,,,,,,
13,13,,,0.7055943012237549,1.0085593461990356,0.6618337035179138,0.7494363188743591,0.2964521050453186,0.4546486735343933,0.19994452595710754,0.19602546095848083
13,13,0.3395746946334839,,,,,,,,,
14,14,,,0.7187513113021851,0.9692873954772949,0.6810487508773804,0.7629237771034241,0.31737908720970154,0.45692336559295654,0.20735561847686768,0.19602546095848083
14,14,0.3076165020465851,,,,,,,,,
15,15,,,0.7474594116210938,0.9267055988311768,0.7153624892234802,0.7689543962478638,0.3422304689884186,0.45800772309303284,0.21828331053256989,0.19602546095848083
15,15,0.2751881778240204,,,,,,,,,
16,16,,,0.7904420495033264,0.886844277381897,0.7620614767074585,0.7694613933563232,0.3622656464576721,0.4564613699913025,0.23260559141635895,0.19602546095848083
16,16,0.24379727244377136,,,,,,,,,
17,17,,,0.8435556888580322,0.854264497756958,0.8140560388565063,0.7675962448120117,0.3749679625034332,0.45282214879989624,0.24964886903762817,0.19602546095848083
17,17,0.21525394916534424,,,,,,,,,
18,18,,,0.9012754559516907,0.8314124941825867,0.8577399849891663,0.7671480178833008,0.3805139660835266,0.4491287171840668,0.2672821581363678,0.19602546095848083
18,18,0.19120348989963531,,,,,,,,,
19,19,,,0.9580363035202026,0.8186099529266357,0.8823547959327698,0.7718120217323303,0.3800380825996399,0.4482297897338867,0.28330928087234497,0.19602546095848083
19,19,0.17279617488384247,,,,,,,,,
20,20,,,1.0090585947036743,0.8145767450332642,0.8905909061431885,0.7843104600906372,0.3748757541179657,0.4528632164001465,0.2977968752384186,0.19602546095848083
20,20,0.16050218045711517,,,,,,,,,
21,21,,,1.0507313013076782,0.8172327876091003,0.8893402814865112,0.8056044578552246,0.36627015471458435,0.464648574590683,0.3115198016166687,0.19602546095848083
21,21,0.15405848622322083,,,,,,,,,
22,22,,,1.0807281732559204,0.8244637846946716,0.8842566013336182,0.8345628380775452,0.35529109835624695,0.48340916633605957,0.3247879147529602,0.19602546095848083
22,22,0.15252988040447235,,,,,,,,,
23,23,,,1.0979807376861572,0.8346107006072998,0.8792877793312073,0.8682886362075806,0.342838317155838,0.5072097182273865,0.33733341097831726,0.19602546095848083
23,23,0.15446504950523376,,,,,,,,,
24,24,,,1.102567434310913,0.8466259241104126,0.876481294631958,0.9029382467269897,0.32964804768562317,0.5330398678779602,0.34840285778045654,0.19602546095848083
24,24,0.15813444554805756,,,,,,,,,
25,25,,,1.0955356359481812,0.8599807620048523,0.8759538531303406,0.9346533417701721,0.3162708282470703,0.5576975345611572,0.35695862770080566,0.19602546095848083
25,25,0.16182520985603333,,,,,,,,,
26,26,,,1.0786652565002441,0.8744576573371887,0.8764550685882568,0.9602845311164856,0.30305078625679016,0.5784763693809509,0.3619875907897949,0.19602546095848083
26,26,0.16413861513137817,,,,,,,,,
27,27,,,1.0542093515396118,0.8899385333061218,0.8762480020523071,0.9777745008468628,0.290143221616745,0.5935250520706177,0.3628033399581909,0.19602546095848083
27,27,0.16421343386173248,,,,,,,,,
28,28,,,1.024643063545227,0.9062436819076538,0.8738086223602295,0.9862269163131714,0.2775687277317047,0.6019189953804016,0.3592177629470825,0.19602546095848083
28,28,0.16181409358978271,,,,,,,,,
29,29,,,0.9924374222755432,0.9230301976203918,0.8681890964508057,0.985760509967804,0.26527824997901917,0.6035475730895996,0.3515544831752777,0.19602546095848083
29,29,0.15726646780967712,,,,,,,,,
30,30,,,0.959871768951416,0.9397415518760681,0.8591075539588928,0.9772566556930542,0.2532026469707489,0.5989140272140503,0.3405414819717407,0.19602546095848083
30,30,0.15127655863761902,,,,,,,,,
31,31,,,0.9288856387138367,0.9556085467338562,0.8469365835189819,0.9620798230171204,0.24128134548664093,0.5889158248901367,0.32715579867362976,0.19602546095848083
31,31,0.14469937980175018,,,,,,,,,
32,32,,,0.9009801149368286,0.9697126746177673,0.8326964974403381,0.9418187737464905,0.22947494685649872,0.5746446847915649,0.31247666478157043,0.19602546095848083
32,32,0.1383223533630371,,,,,,,,,
33,33,,,0.8771758675575256,0.9811021685600281,0.817951500415802,0.9180774092674255,0.21777234971523285,0.5572295784950256,0.2975565791130066,0.19602546095848083
33,33,0.13271066546440125,,,,,,,,,
34,34,,,0.8580353260040283,0.9889478087425232,0.8044075965881348,0.8923321962356567,0.20620009303092957,0.5377324819564819,0.2832924425601959,0.19602546095848083
34,34,0.12813608348369598,,,,,,,,,
35,35,,,0.8437408804893494,0.9926899671554565,0.7933914661407471,0.8658590912818909,0.19483321905136108,0.5170973539352417,0.2703329920768738,0.19602546095848083
35,35,0.12459010630846024,,,,,,,,,
36,36,,,0.8342061638832092,0.9921432137489319,0.7856470942497253,0.8397253155708313,0.18380339443683624,0.49614548683166504,0.2590818405151367,0.19602546095848083
36,36,0.12186287343502045,,,,,,,,,
37,37,,,0.8291858434677124,0.9875310063362122,0.7814208269119263,0.8148167133331299,0.1732957810163498,0.4755963087081909,0.24976038932800293,0.19602546095848083
37,37,0.11965636163949966,,,,,,,,,
38,38,,,0.828355073928833,0.9794461131095886,0.7806069850921631,0.7918739318847656,0.16352775692939758,0.4560897648334503,0.24246904253959656,0.19602546095848083
38,38,0.11769597232341766,,,,,,,,,
