epoch,step,train/loss_epoch,train/loss_step,val/error_Im_qq,val/error_Im_xx,val/error_Re_qq,val/error_Re_xx,val/loss,val/loss_best
0,0,,,3.249030828475952,3.071664810180664,2.9703333377838135,1.0712820291519165,0.9655852317810059,0.9655852317810059
0,0,3.5478110313415527,,,,,,,
1,1,,,3.9611971378326416,2.5146496295928955,2.332165241241455,1.0263043642044067,0.763325572013855,0.763325572013855
1,1,2.9564454555511475,,,,,,,
2,2,,,4.566013813018799,1.981833815574646,1.7749487161636353,0.9805138111114502,0.6144328117370605,0.6144328117370605
2,2,2.4749414920806885,,,,,,,
3,3,,,5.014642238616943,1.4907398223876953,1.3383179903030396,0.9341949224472046,0.5103020668029785,0.5103020668029785
3,3,2.0986485481262207,,,,,,,
4,4,,,5.272894859313965,1.0594658851623535,1.0633007287979126,0.8873648047447205,0.4388483464717865,0.4388483464717865
4,4,1.8136794567108154,,,,,,,
5,5,,,5.329775810241699,0.7021234631538391,0.9599391222000122,0.839860737323761,0.38726791739463806,0.38726791739463806
5,5,1.598183035850525,,,,,,,
6,6,,,5.197421073913574,0.4293958246707916,0.9739313125610352,0.791451632976532,0.34511005878448486,0.34511005878448486
6,6,1.4274961948394775,,,,,,,
7,7,,,4.902190208435059,0.25875717401504517,1.02951979637146,0.7419129610061646,0.3057924509048462,0.3057924509048462
7,7,1.2805967330932617,,,,,,,
8,8,,,4.475714206695557,0.2142030894756317,1.0812419652938843,0.6911771297454834,0.26642176508903503,0.26642176508903503
8,8,1.1436772346496582,,,,,,,
9,9,,,3.9504776000976562,0.24758952856063843,1.113399624824524,0.6394316554069519,0.22680342197418213,0.22680342197418213
9,9,1.010300636291504,,,,,,,
10,10,,,3.3589231967926025,0.28482356667518616,1.12541925907135,0.5872061848640442,0.18833598494529724,0.18833598494529724
10,10,0.8796133995056152,,,,,,,
11,11,,,2.7345359325408936,0.30393344163894653,1.1225005388259888,0.5355184674263,0.15308021008968353,0.15308021008968353
11,11,0.7540831565856934,,,,,,,
12,12,,,2.1151273250579834,0.3057936728000641,1.1110068559646606,0.486083060503006,0.12307672947645187,0.12307672947645187
12,12,0.6375437378883362,,,,,,,
13,13,,,1.5515846014022827,0.2973618507385254,1.0963349342346191,0.4415384829044342,0.09990060329437256,0.09990060329437256
13,13,0.5337773561477661,,,,,,,
14,14,,,1.1295204162597656,0.2867524325847626,1.0820753574371338,0.4055720269680023,0.08442090451717377,0.08442090451717377
14,14,0.4456093907356262,,,,,,,
15,15,,,0.9772664308547974,0.2805834114551544,1.069965124130249,0.3825995624065399,0.07673534005880356,0.07673534005880356
15,15,0.3744361698627472,,,,,,,
16,16,,,1.1102110147476196,0.28195586800575256,1.0603759288787842,0.37653017044067383,0.07625266909599304,0.07625266909599304
16,16,0.3201199769973755,,,,,,,
17,17,,,1.3606348037719727,0.29018229246139526,1.0530667304992676,0.38883110880851746,0.08188073337078094,0.07625266909599304
17,17,0.28118696808815,,,,,,,
18,18,,,1.5996288061141968,0.3027411699295044,1.047882318496704,0.41746628284454346,0.09225708246231079,0.07625266909599304
18,18,0.2552359998226166,,,,,,,
19,19,,,1.775044560432434,0.31772443652153015,1.0451303720474243,0.45781970024108887,0.1059536561369896,0.07625266909599304
19,19,0.23943080008029938,,,,,,,
