epoch,step,train/loss_epoch,train/loss_step,val/error_p,val/error_q,val/error_qq,val/error_u,val/error_v,val/error_xx,val/loss,val/loss_best
0,0,,,1.2828736305236816,4.507007122039795,1.6498165130615234,1.0115504264831543,0.6485668420791626,0.7950426936149597,0.7453323006629944,0.7453323006629944
0,0,2.069267988204956,,,,,,,,,
1,1,,,1.272019386291504,3.0413589477539062,1.281323790550232,0.9537374973297119,0.6032204031944275,0.8073897361755371,0.6337060332298279,0.6337060332298279
1,1,1.7517380714416504,,,,,,,,,
2,2,,,1.312713861465454,1.8129655122756958,1.1422961950302124,0.8986095190048218,0.5697338581085205,0.7904983162879944,0.5571725368499756,0.5571725368499756
2,2,1.5087870359420776,,,,,,,,,
3,3,,,1.3686856031417847,1.116054654121399,1.169771671295166,0.8446901440620422,0.5454272031784058,0.7471022009849548,0.5002771615982056,0.5002771615982056
3,3,1.329675316810608,,,,,,,,,
4,4,,,1.4144535064697266,1.2421761751174927,1.2236707210540771,0.7901864051818848,0.5269027352333069,0.6940997242927551,0.45421117544174194,0.45421117544174194
4,4,1.1971677541732788,,,,,,,,,
5,5,,,1.441208004951477,1.627381443977356,1.2685264348983765,0.7336024641990662,0.512624204158783,0.6403142213821411,0.4130612313747406,0.4130612313747406
5,5,1.091383457183838,,,,,,,,,
6,6,,,1.4527089595794678,1.8838533163070679,1.3011754751205444,0.6743388175964355,0.5022813081741333,0.5865979790687561,0.37226933240890503,0.37226933240890503
6,6,0.9952892065048218,,,,,,,,,
7,7,,,1.457947015762329,1.9712636470794678,1.3150129318237305,0.6130595207214355,0.49523812532424927,0.5330188274383545,0.3306649327278137,0.3306649327278137
7,7,0.8993049263954163,,,,,,,,,
8,8,,,1.465222954750061,1.9412105083465576,1.3219168186187744,0.5518167614936829,0.4895847737789154,0.4804007411003113,0.2911580502986908,0.2911580502986908
8,8,0.8018872737884521,,,,,,,,,
9,9,,,1.4787439107894897,1.8702681064605713,1.3369861841201782,0.4938700497150421,0.48229795694351196,0.43039777874946594,0.25773948431015015,0.25773948431015015
9,9,0.7066215872764587,,,,,,,,,
10,10,,,1.49726402759552,1.8295817375183105,1.3638843297958374,0.443081259727478,0.4703649580478668,0.38498908281326294,0.2327408790588379,0.2327408790588379
