epoch,step,train/loss_epoch,train/loss_step,val/error_Im_qq,val/error_Im_xx,val/error_Re_qq,val/error_Re_xx,val/error_qq,val/error_xx,val/loss,val/loss_best
0,0,,,3.0461394786834717,0.6358664035797119,3.4260828495025635,1.0951204299926758,2.372619152069092,0.7544407248497009,1.0210949182510376,1.0210949182510376
0,0,2.3413450717926025,,,,,,,,,
1,1,,,2.863736629486084,0.49444884061813354,2.834132671356201,1.0259162187576294,1.931897759437561,0.7902671098709106,0.8530484437942505,0.8530484437942505
1,1,1.99806547164917,,,,,,,,,
2,2,,,2.7064461708068848,0.38717734813690186,2.300321102142334,0.9701967239379883,1.587083101272583,0.772686243057251,0.7102323770523071,0.7102323770523071
2,2,1.7346638441085815,,,,,,,,,
3,3,,,2.5672287940979004,0.3337077498435974,1.8609039783477783,0.9254218339920044,1.3439390659332275,0.7202019691467285,0.5941075682640076,0.5941075682640076
3,3,1.5423871278762817,,,,,,,,,
4,4,,,2.427696466445923,0.3388667106628418,1.5428202152252197,0.8868959546089172,1.1874803304672241,0.66668301820755,0.5104569792747498,0.5104569792747498
4,4,1.4049975872039795,,,,,,,,,
5,5,,,2.277648448944092,0.3773844540119171,1.343941330909729,0.8497211337089539,1.1006182432174683,0.6218883395195007,0.4512740969657898,0.4512740969657898
5,5,1.3007562160491943,,,,,,,,,
6,6,,,2.1278815269470215,0.41973206400871277,1.231811761856079,0.8105312585830688,1.0578962564468384,0.5867180824279785,0.40664660930633545,0.40664660930633545
6,6,1.209531545639038,,,,,,,,,
7,7,,,2.0025408267974854,0.44932684302330017,1.1678664684295654,0.7680488228797913,1.033538579940796,0.5585910677909851,0.3693314492702484,0.3693314492702484
7,7,1.118403673171997,,,,,,,,,
8,8,,,1.9229251146316528,0.45953530073165894,1.1302224397659302,0.7227255702018738,1.013729453086853,0.5342192053794861,0.3358214199542999,0.3358214199542999
8,8,1.0225998163223267,,,,,,,,,
9,9,,,1.8945434093475342,0.44934043288230896,1.1174311637878418,0.675986111164093,0.9954454302787781,0.5108113884925842,0.30530232191085815,0.30530232191085815
9,9,0.9232300519943237,,,,,,,,,
10,10,,,1.9059433937072754,0.42139217257499695,1.1385951042175293,0.6294682025909424,0.9833155274391174,0.48639264702796936,0.27834558486938477,0.27834558486938477
