epoch,step,train/loss_epoch,train/loss_step,val/error_qq,val/error_xx,val/loss,val/loss_best
0,0,,,1.4645129442214966,1.072805404663086,0.3938523530960083,0.3938523530960083
0,0,2.0165390968322754,,,,,
1,1,,,0.9186611175537109,0.8200312256813049,0.22099947929382324,0.22099947929382324
1,1,1.6209853887557983,,,,,
2,2,,,1.4849276542663574,0.5516704320907593,0.14064764976501465,0.14064764976501465
2,2,0.9514357447624207,,,,,
3,3,,,1.3060096502304077,0.5726831555366516,0.13662341237068176,0.13662341237068176
3,3,0.5563431978225708,,,,,
4,4,,,0.9995660781860352,0.4442390203475952,0.08160430938005447,0.08160430938005447
4,4,0.407793253660202,,,,,
5,5,,,0.930279016494751,0.27698060870170593,0.04235352575778961,0.04235352575778961
5,5,0.20986446738243103,,,,,
6,6,,,0.9569501280784607,0.5355417728424072,0.10664398968219757,0.04235352575778961
6,6,0.06356357783079147,,,,,
7,7,,,0.9587680697441101,0.6487382650375366,0.1470295935869217,0.04235352575778961
7,7,0.13831429183483124,,,,,
8,8,,,0.9377673864364624,0.5943217873573303,0.1258031725883484,0.04235352575778961
8,8,0.20392803847789764,,,,,
9,9,,,0.9731229543685913,0.6147419810295105,0.13473233580589294,0.04235352575778961
9,9,0.18512247502803802,,,,,
10,10,,,1.0944198369979858,0.6513314843177795,0.1542501002550125,0.04235352575778961
10,10,0.2326086163520813,,,,,
11,11,,,1.1611794233322144,0.5950986742973328,0.13653112947940826,0.04235352575778961
11,11,0.27552875876426697,,,,,
12,12,,,1.074399471282959,0.5379865169525146,0.11274991929531097,0.04235352575778961
12,12,0.22171878814697266,,,,,
13,13,,,0.9491700530052185,0.5380475521087646,0.10712238401174545,0.04235352575778961
13,13,0.1519269049167633,,,,,
14,14,,,0.908494234085083,0.5070585012435913,0.09570042043924332,0.04235352575778961
14,14,0.1323019117116928,,,,,
15,15,,,0.9196872115135193,0.4066767394542694,0.06857741624116898,0.04235352575778961
15,15,0.11594965308904648,,,,,
16,16,,,1.0007877349853516,0.30975258350372314,0.05116938054561615,0.04235352575778961
16,16,0.07297474145889282,,,,,
17,17,,,1.1127495765686035,0.29188188910484314,0.053210027515888214,0.04235352575778961
17,17,0.05094997584819794,,,,,
18,18,,,1.1285760402679443,0.2948196232318878,0.054518766701221466,0.04235352575778961
18,18,0.0699293315410614,,,,,
