epoch,step,train/loss_epoch,train/loss_step,val/error_h,val/error_u,val/error_v,val/loss,val/loss_best
0,0,,,0.9116470813751221,1.08587646484375,1.0548614263534546,1.5879361629486084,1.5879361629486084
0,0,4.605769157409668,,,,,,
1,1,,,0.7591180205345154,0.8737314939498901,1.0402199029922485,1.1681030988693237,1.1681030988693237
1,1,1.3911876678466797,,,,,,
2,2,,,0.8767896294593811,1.2236214876174927,1.011805772781372,1.6692978143692017,1.1681030988693237
2,2,0.530605673789978,,,,,,
3,3,,,0.8979182243347168,1.258339762687683,0.9749953746795654,1.7199950218200684,1.1681030988693237
3,3,1.3429572582244873,,,,,,
4,4,,,0.8036545515060425,1.068787932395935,0.967974841594696,1.3682432174682617,1.1681030988693237
4,4,1.6162875890731812,,,,,,
5,5,,,0.7576203346252441,0.9166293740272522,0.976552426815033,1.1655995845794678,1.1655995845794678
5,5,0.7477887272834778,,,,,,
6,6,,,0.7657798528671265,0.8677091598510742,0.9918804168701172,1.1412770748138428,1.1412770748138428
6,6,0.491075336933136,,,,,,
7,7,,,0.7849063277244568,0.8924095034599304,1.0092164278030396,1.1971200704574585,1.1412770748138428
7,7,0.5221419334411621,,,,,,
8,8,,,0.7963506579399109,0.9457272291183472,1.0252832174301147,1.270219087600708,1.1412770748138428
8,8,0.6098594665527344,,,,,,
9,9,,,0.8012495040893555,0.9983881115913391,1.0375182628631592,1.3350220918655396,1.1412770748138428
9,9,0.695870578289032,,,,,,
10,10,,,0.8036585450172424,1.0364216566085815,1.0439330339431763,1.3806350231170654,1.1412770748138428
10,10,0.766579270362854,,,,,,
11,11,,,0.8059566617012024,1.0549825429916382,1.0435683727264404,1.4026637077331543,1.1412770748138428
11,11,0.8163257241249084,,,,,,
12,12,,,0.8087964653968811,1.054391622543335,1.0370163917541504,1.401585340499878,1.1412770748138428
12,12,0.8409664630889893,,,,,,
13,13,,,0.8117855191230774,1.0379087924957275,1.0261930227279663,1.3815531730651855,1.1412770748138428
13,13,0.8391280174255371,,,,,,
14,14,,,0.8141108751296997,1.0102728605270386,1.0134515762329102,1.3485673666000366,1.1412770748138428
14,14,0.8135344386100769,,,,,,
15,15,,,0.814922571182251,0.9767236113548279,1.0007973909378052,1.3087648153305054,1.1412770748138428
15,15,0.7701852321624756,,,,,,
16,16,,,0.8134180903434753,0.9424135088920593,0.9895891547203064,1.2673134803771973,1.1412770748138428
16,16,0.716495156288147,,,,,,
17,17,,,0.808768630027771,0.9120460748672485,0.9805710911750793,1.2279021739959717,1.1412770748138428
17,17,0.6597824096679688,,,,,,
18,18,,,0.8003389835357666,0.8895413279533386,0.9739874005317688,1.1929978132247925,1.1412770748138428
18,18,0.6063926815986633,,,,,,
19,19,,,0.7886225581169128,0.8775961995124817,0.9696822762489319,1.1650773286819458,1.1412770748138428
19,19,0.561245858669281,,,,,,
20,20,,,0.7760985493659973,0.8771747946739197,0.9672229886054993,1.1475915908813477,1.1412770748138428
20,20,0.5276564955711365,,,,,,
21,21,,,0.7660650610923767,0.8871278762817383,0.9660767316818237,1.1432743072509766,1.1412770748138428
21,21,0.5072676539421082,,,,,,
22,22,,,0.7603814601898193,0.9042149782180786,0.9658103585243225,1.1513968706130981,1.1412770748138428
22,22,0.4997836947441101,,,,,,
23,23,,,0.7587124705314636,0.9237222075462341,0.9662254452705383,1.1673405170440674,1.1412770748138428
23,23,0.5022731423377991,,,,,,
24,24,,,0.7592459917068481,0.9406612515449524,0.9673705101013184,1.1843602657318115,1.1412770748138428
24,24,0.5086147785186768,,,,,,
25,25,,,0.7599294185638428,0.951227605342865,0.969435453414917,1.196340560913086,1.1412770748138428
25,25,0.5107290744781494,,,,,,
26,26,,,0.7595126628875732,0.9538891315460205,0.9725924730300903,1.2002111673355103,1.1412770748138428
26,26,0.5025579929351807,,,,,,
27,27,,,0.757887601852417,0.9495283961296082,0.9768592715263367,1.1966300010681152,1.1412770748138428
27,27,0.48434334993362427,,,,,,
28,28,,,0.7557029128074646,0.9406257271766663,0.9820375442504883,1.1886892318725586,1.1412770748138428
28,28,0.4627639353275299,,,,,,
29,29,,,0.7537186741828918,0.9300656318664551,0.9877507090568542,1.1798783540725708,1.1412770748138428
29,29,0.44624966382980347,,,,,,
30,30,,,0.7523857355117798,0.9202204346656799,0.9935696125030518,1.172705888748169,1.1412770748138428
30,30,0.43977922201156616,,,,,,
31,31,,,0.7517927289009094,0.9125859141349792,0.9991700053215027,1.1684138774871826,1.1412770748138428
31,31,0.4430270791053772,,,,,,
32,32,,,0.7518271207809448,0.9078629016876221,1.0044176578521729,1.1673632860183716,1.1412770748138428
32,32,0.45187586545944214,,,,,,
33,33,,,0.7523496747016907,0.9062263369560242,1.009285569190979,1.1694836616516113,1.1412770748138428
33,33,0.46119484305381775,,,,,,
34,34,,,0.7532727718353271,0.907567024230957,1.0136168003082275,1.1744568347930908,1.1412770748138428
34,34,0.4670911133289337,,,,,,
35,35,,,0.7545355558395386,0.911607563495636,1.0169159173965454,1.181662678718567,1.1412770748138428
35,35,0.4678821563720703,,,,,,
36,36,,,0.7560358047485352,0.917899489402771,1.0184268951416016,1.1901296377182007,1.1412770748138428
36,36,0.4638778567314148,,,,,,
37,37,,,0.7575980424880981,0.9257701635360718,1.017575740814209,1.1987112760543823,1.1412770748138428
37,37,0.4565694332122803,,,,,,
38,38,,,0.759019136428833,0.9342994689941406,1.0144927501678467,1.2064266204833984,1.1412770748138428
38,38,0.44789591431617737,,,,,,
39,39,,,0.7601330280303955,0.9423735737800598,1.0101302862167358,1.2126401662826538,1.1412770748138428
39,39,0.4398423433303833,,,,,,
