epoch,step,train/loss_epoch,train/loss_step,val/error_qq,val/error_xx,val/loss,val/loss_best
0,0,,,1.3712549209594727,1.2271389961242676,0.49668535590171814,0.49668535590171814
0,0,0.7053903937339783,,,,,
1,1,,,1.0092021226882935,1.072674036026001,0.37040960788726807,0.37040960788726807
1,1,0.46513181924819946,,,,,
2,2,,,0.9327093958854675,0.9672265648841858,0.30207526683807373,0.30207526683807373
2,2,0.3228018581867218,,,,,
3,3,,,1.0646580457687378,0.9001460671424866,0.26990169286727905,0.26990169286727905
3,3,0.26263490319252014,,,,,
4,4,,,1.1985087394714355,0.8488624691963196,0.2493501901626587,0.2493501901626587
4,4,0.2489384561777115,,,,,
5,5,,,1.2542729377746582,0.7957006096839905,0.2258678376674652,0.2258678376674652
5,5,0.2439011186361313,,,,,
6,6,,,1.236814022064209,0.733852744102478,0.1962905377149582,0.1962905377149582
6,6,0.2271937131881714,,,,,
7,7,,,1.1747394800186157,0.6644802689552307,0.16367292404174805,0.16367292404174805
7,7,0.1964166909456253,,,,,
8,8,,,1.099880576133728,0.5931591391563416,0.1328195035457611,0.1328195035457611
8,8,0.15803378820419312,,,,,
9,9,,,1.0399549007415771,0.5276612043380737,0.10781000554561615,0.10781000554561615
9,9,0.12061415612697601,,,,,
10,10,,,1.0111571550369263,0.47567373514175415,0.09073767066001892,0.09073767066001892
10,10,0.09127811342477798,,,,,
11,11,,,1.0121197700500488,0.44129106402397156,0.08123824000358582,0.08123824000358582
11,11,0.07378145307302475,,,,,
12,12,,,1.0273284912109375,0.4220162034034729,0.07687737792730331,0.07687737792730331
12,12,0.067689448595047,,,,,
13,13,,,1.039020299911499,0.41018572449684143,0.0744236409664154,0.0744236409664154
13,13,0.06895817816257477,,,,,
14,14,,,1.0367727279663086,0.3983033001422882,0.07141458988189697,0.07141458988189697
14,14,0.07209298759698868,,,,,
15,15,,,1.0195260047912598,0.3830100893974304,0.06702622771263123,0.06702622771263123
15,15,0.0728483572602272,,,,,
16,16,,,0.9929458498954773,0.3655947148799896,0.06191600114107132,0.06191600114107132
16,16,0.06976784765720367,,,,,
17,17,,,0.9657099843025208,0.3503999710083008,0.05746202915906906,0.05746202915906906
17,17,0.06399008631706238,,,,,
18,18,,,0.9460439085960388,0.34214481711387634,0.05491328239440918,0.05491328239440918
18,18,0.05800275504589081,,,,,
19,19,,,0.9388883113861084,0.3428691625595093,0.05476981773972511,0.05476981773972511
19,19,0.05420030653476715,,,,,
20,20,,,0.94436115026474,0.35040202736854553,0.05657472833991051,0.05476981773972511
20,20,0.05378785729408264,,,,,
21,21,,,0.9581770300865173,0.35981568694114685,0.059170402586460114,0.05476981773972511
21,21,0.05635204166173935,,,,,
22,22,,,0.9737260937690735,0.3663299083709717,0.06125596538186073,0.05476981773972511
22,22,0.06021697819232941,,,,,
23,23,,,0.9846179485321045,0.36726319789886475,0.06192753463983536,0.05476981773972511
23,23,0.06334638595581055,,,,,
24,24,,,0.9866044521331787,0.3624565899372101,0.060951247811317444,0.05476981773972511
24,24,0.06425954401493073,,,,,
25,25,,,0.9785261154174805,0.3537488281726837,0.05871816724538803,0.05476981773972511
25,25,0.06251885741949081,,,,,
26,26,,,0.9623702764511108,0.34404465556144714,0.05598613619804382,0.05476981773972511
26,26,0.058689557015895844,,,,,
27,27,,,0.9424942135810852,0.336246132850647,0.053556255996227264,0.053556255996227264
27,27,0.05394071340560913,,,,,
28,28,,,0.9241553544998169,0.33224576711654663,0.05200167000293732,0.05200167000293732
28,28,0.04952840134501457,,,,,
29,29,,,0.9116759300231934,0.332341730594635,0.05152221769094467,0.05152221769094467
29,29,0.04635980725288391,,,,,
30,30,,,0.9068270921707153,0.33541202545166016,0.05195074528455734,0.05152221769094467
30,30,0.04476294293999672,,,,,
31,31,,,0.9082539677619934,0.3397121727466583,0.0528857558965683,0.05152221769094467
31,31,0.04450042173266411,,,,,
32,32,,,0.9123570322990417,0.3437440097332001,0.053882353007793427,0.05152221769094467
32,32,0.04498099535703659,,,,,
33,33,,,0.9151327610015869,0.3467433452606201,0.054619573056697845,0.05152221769094467
33,33,0.04555666446685791,,,,,
34,34,,,0.9139596223831177,0.34869566559791565,0.054983776062726974,0.05152221769094467
34,34,0.04577578976750374,,,,,
35,35,,,0.9085587859153748,0.35003572702407837,0.05505286902189255,0.05152221769094467
35,35,0.04550257325172424,,,,,
36,36,,,0.9008758068084717,0.35125041007995605,0.05500803887844086,0.05152221769094467
36,36,0.04488537460565567,,,,,
37,37,,,0.8940460085868835,0.3525691032409668,0.05502205342054367,0.05152221769094467
37,37,0.04421877861022949,,,,,
38,38,,,0.8908895254135132,0.353849858045578,0.05517321825027466,0.05152221769094467
