epoch,step,train/loss_epoch,train/loss_step,val/error_Im_qq,val/error_Im_xx,val/error_Re_qq,val/error_Re_xx,val/loss,val/loss_best
0,0,,,4.942026615142822,2.2238149642944336,1.0949686765670776,1.249386191368103,0.8101213574409485,0.8101213574409485
0,0,3.501807928085327,,,,,,,
1,1,,,3.3656671047210693,1.890109658241272,1.0183868408203125,1.2076114416122437,0.6585103273391724,0.6585103273391724
1,1,2.997741937637329,,,,,,,
2,2,,,2.038992166519165,1.569745659828186,1.04351007938385,1.1679790019989014,0.5528640151023865,0.5528640151023865
2,2,2.5907480716705322,,,,,,,
3,3,,,1.3926669359207153,1.267044186592102,1.1102938652038574,1.1305721998214722,0.48521697521209717,0.48521697521209717
3,3,2.275880813598633,,,,,,,
4,4,,,1.7952097654342651,0.9858368635177612,1.168900966644287,1.0952285528182983,0.4452008605003357,0.4452008605003357
4,4,2.0417346954345703,,,,,,,
5,5,,,2.5191378593444824,0.7304980158805847,1.1952391862869263,1.061863660812378,0.42220523953437805,0.42220523953437805
5,5,1.871047019958496,,,,,,,
6,6,,,3.13342547416687,0.5064283609390259,1.183693528175354,1.0306564569473267,0.4073638916015625,0.4073638916015625
6,6,1.7444000244140625,,,,,,,
7,7,,,3.547919988632202,0.3230949640274048,1.139854073524475,1.00202476978302,0.39470016956329346,0.39470016956329346
7,7,1.644335150718689,,,,,,,
8,8,,,3.75541090965271,0.20716597139835358,1.0755332708358765,0.9764318466186523,0.38109081983566284,0.38109081983566284
8,8,1.5581773519515991,,,,,,,
9,9,,,3.773876190185547,0.2043461799621582,1.004640817642212,0.9541956782341003,0.3655621409416199,0.3655621409416199
9,9,1.4785046577453613,,,,,,,
10,10,,,3.6321842670440674,0.27574875950813293,0.9401242136955261,0.9353558421134949,0.348488450050354,0.348488450050354
10,10,1.402113914489746,,,,,,,
11,11,,,3.365192174911499,0.3555345833301544,0.891384482383728,0.9196105599403381,0.3308795094490051,0.3308795094490051
11,11,1.328542947769165,,,,,,,
12,12,,,3.011615037918091,0.422728955745697,0.8620834946632385,0.9063014984130859,0.3138139247894287,0.3138139247894287
12,12,1.258662462234497,,,,,,,
13,13,,,2.613252639770508,0.4728257656097412,0.8497820496559143,0.8944224715232849,0.29805508255958557,0.29805508255958557
13,13,1.1935492753982544,,,,,,,
14,14,,,2.2142910957336426,0.5059199929237366,0.8482682704925537,0.8826469779014587,0.2838367819786072,0.2838367819786072
14,14,1.1337058544158936,,,,,,,
15,15,,,1.8590017557144165,0.5238819718360901,0.8512082099914551,0.8693950772285461,0.27081388235092163,0.27081388235092163
15,15,1.0786285400390625,,,,,,,
16,16,,,1.585532784461975,0.5294645428657532,0.8549292683601379,0.8529407978057861,0.25817543268203735,0.25817543268203735
16,16,1.0267319679260254,,,,,,,
17,17,,,1.4133836030960083,0.5257991552352905,0.8592658638954163,0.8315560221672058,0.24488112330436707,0.24488112330436707
17,17,0.9756115078926086,,,,,,,
18,18,,,1.331311821937561,0.515902578830719,0.8667499423027039,0.8036932945251465,0.22995950281620026,0.22995950281620026
18,18,0.9225354790687561,,,,,,,
19,19,,,1.3034756183624268,0.5022649765014648,0.8809210062026978,0.7681810855865479,0.2127864509820938,0.2127864509820938
19,19,0.8650383949279785,,,,,,,
20,20,,,1.2921404838562012,0.48659607768058777,0.9045411944389343,0.7244076728820801,0.19327232241630554,0.19327232241630554
20,20,0.8014629483222961,,,,,,,
21,21,,,1.2733410596847534,0.4697451889514923,0.938378095626831,0.6725000739097595,0.1719236969947815,0.1719236969947815
21,21,0.7313195466995239,,,,,,,
22,22,,,1.2383545637130737,0.4517867863178253,0.9808841347694397,0.6135392785072327,0.1497899889945984,0.1497899889945984
